File,Energy (kcal/mol)
GC_33.pdb,-1.6750404583562866
GC_53.pdb,-0.32530166234432606
GC_49.pdb,-0.29753186756523503
GC_34.pdb,-0.1911462293403912
GC_4.pdb,-0.1420147263495211
GC_55.pdb,-0.111916571502105
GC_76.pdb,-0.050729191784344256
GC_1.pdb,-0.04959195032245101
GC_74.pdb,-0.041056023140986435
GC_67.pdb,-0.039281336174276905
GC_17.pdb,-0.03175010706106335
GC_6.pdb,-0.02720134464910514
GC_73.pdb,-0.02642499870827686
GC_2.pdb,-0.025536087763144137
GC_43.pdb,-0.021148224124471184
GC_8.pdb,-0.01919833060946291
GC_89.pdb,-0.016135354574947428
GC_14.pdb,-0.014331624359349194
GC_99.pdb,-0.012742301309350968
GC_62.pdb,-0.00995153451067734
GC_46.pdb,-0.009908797024527903
GC_84.pdb,-0.008080697539927085
GC_86.pdb,-0.006734698808860867
GC_58.pdb,-0.006572273327603378
GC_71.pdb,-0.005940366322529177
GC_36.pdb,-0.004712215537366158
GC_19.pdb,-0.0034435978700916485
GC_27.pdb,-0.0031466274836465117
GC_81.pdb,-0.0030462863352574802
GC_98.pdb,-0.00298536010033451
GC_80.pdb,-0.002850201889079932
GC_95.pdb,-0.002516853184888643
GC_63.pdb,-0.0024218106084360163
GC_61.pdb,-0.002399975965660163
GC_45.pdb,-0.0020244169211270408
GC_29.pdb,-0.0020121362527545147
GC_10.pdb,-0.001929973315215631
GC_93.pdb,-0.0018084354928364567
GC_11.pdb,-0.0017924028191416454
GC_85.pdb,-0.0017546415772154542
GC_9.pdb,-0.0015649804793224033
GC_0.pdb,-0.0015110488613831932
GC_68.pdb,-0.001223117991783573
GC_66.pdb,-0.0009445303518012952
GC_30.pdb,-0.0008647667169949805
GC_12.pdb,-0.0007994455897770606
GC_23.pdb,-0.0007072544015045822
GC_38.pdb,-0.0007058318363700999
GC_26.pdb,-0.0006606247725069982
GC_51.pdb,-0.00048296171137618676
GC_90.pdb,-0.00048148507640694303
GC_32.pdb,-0.00042302731012880054
GC_77.pdb,-0.000420396363945627
GC_78.pdb,-0.0004157158830074641
GC_57.pdb,-0.00041559885753292736
GC_54.pdb,-0.00037494629031154273
GC_41.pdb,-0.00036091386117981315
GC_56.pdb,-0.0003454131339347129
GC_37.pdb,-0.00034161202870991876
GC_20.pdb,-0.00033342562147130317
GC_91.pdb,-0.0003268610872910921
GC_24.pdb,-0.00031895200301304614
GC_31.pdb,-0.00030893562565252126
GC_42.pdb,-0.00030646197749309174
GC_40.pdb,-0.0002947938833672193
GC_35.pdb,-0.000261436800155545
GC_79.pdb,-0.0002449526637611008
GC_25.pdb,-0.00022681337210259895
GC_92.pdb,-0.00019406422183626415
GC_97.pdb,-0.00017755105190667958
GC_47.pdb,-0.00017592229937586493
GC_59.pdb,-0.0001558892782031014
GC_82.pdb,-0.0001554071082666177
GC_87.pdb,-0.00013957933254383175
GC_28.pdb,-0.00013530123763445435
GC_70.pdb,-0.00013303725803530064
GC_52.pdb,-0.00012676221468044024
GC_5.pdb,-0.00011315598655879329
GC_44.pdb,-0.00011290432901017456
GC_13.pdb,-9.55495226622439e-05
GC_22.pdb,-8.225012860991083e-05
GC_60.pdb,-7.688174048942409e-05
GC_64.pdb,-7.32775267441538e-05
GC_48.pdb,-7.1814966420297e-05
GC_15.pdb,-6.296408742150698e-05
GC_16.pdb,-6.125730521283367e-05
GC_65.pdb,-4.652661881181148e-05
GC_39.pdb,-4.210338930799291e-05
GC_75.pdb,-3.705334092942698e-05
GC_72.pdb,-3.366434219750472e-05
GC_83.pdb,-2.1967876309539708e-05
GC_21.pdb,-1.5060265524239982e-05
GC_50.pdb,-1.4262916163369378e-05
GC_18.pdb,-9.733359527461474e-06
GC_88.pdb,-8.856681938187911e-06
GC_94.pdb,23.56225859232661
GC_3.pdb,75445.61052009284
GC_69.pdb,264464.76766987395
GC_7.pdb,7243695.269435206
GC_96.pdb,11028519046.773685
